hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa,"Gross domestic product, constant prices","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Inflation, average consumer prices",Volume of imports of goods and services,Volume of exports of goods and services,Unemployment rate,Current account balance,Date,GSPC.Close
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2017,1,218.09,220.86,2.242,55572.58,59878.72,15.903,2.131,4.509,4.268,4.358,-1.887,01-01-2017,2278.870117
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2017,2,225.81,223.36,2.242,55572.58,59878.72,15.903,2.131,4.509,4.268,4.358,-1.887,01-02-2017,2363.639893
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2017,3,229.68,226.55,2.242,55572.58,59878.72,15.903,2.131,4.509,4.268,4.358,-1.887,01-03-2017,2362.719971
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2017,4,229.87,230.17,2.242,55572.58,59878.72,15.903,2.131,4.509,4.268,4.358,-1.887,01-04-2017,2384.199951
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2018,1,230.51,232.96,2.945,56904.34,62787.78,15.809,2.439,4.206,2.802,3.892,-2.142,01-01-2018,2823.810059
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2018,2,238.68,236.42,2.945,56904.34,62787.78,15.809,2.439,4.206,2.802,3.892,-2.142,01-02-2018,2713.830078
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2018,3,242.07,238.97,2.945,56904.34,62787.78,15.809,2.439,4.206,2.802,3.892,-2.142,01-03-2018,2640.870117
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2018,4,241.48,241.69,2.945,56904.34,62787.78,15.809,2.439,4.206,2.802,3.892,-2.142,01-04-2018,2648.050049
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2019,1,242.8,245.05,2.295,57940.11,65077.3,15.742,1.813,1.144,0.47,3.683,-2.066,01-01-2019,2704.100098
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2019,2,247.9,245.69,2.295,57940.11,65077.3,15.742,1.813,1.144,0.47,3.683,-2.066,01-02-2019,2784.48999
